订单号,来源,配送方式,商品金额,期望送达时间,下单时间,打包时间,妥投时间,ctype
43636039,企业团购,配送,459.2,2021-09-30 15:00:00 - 2021-09-30 16:00:00,2021/9/29 8:18,2021/9/30 16:50,2021/10/1 11:25,D
43737159,企业团购,配送,429.4,2021-09-30 15:00:00 - 2021-09-30 16:00:00,2021/9/29 21:47,2021/9/30 16:50,2021/10/1 12:00,D
43838043,企业团购,配送,180.88,2021-10-01 12:30:00 - 2021-10-01 13:30:00,2021/10/1 11:54,2021/10/1 11:58,2021/10/1 12:07,A
43839207,美团,配送,95.3,2021-10-01 11:32:00 - 2021-10-01 12:32:00,2021/10/1 11:31,2021/10/1 11:38,2021/10/1 12:14,C
43840825,企业团购,配送,159.9,2021-10-01 12:30:00 - 2021-10-01 13:30:00,2021/10/1 11:41,2021/10/1 11:55,2021/10/1 12:15,C
43841577,美团,配送,160.7,2021-10-01 12:25:00 - 2021-10-01 13:25:00,2021/10/1 12:24,2021/10/1 12:38,2021/10/1 12:55,C
43842130,企业团购,自提,113.78,2021-10-01 14:30:00 - 2021-10-01 15:30:00,2021/10/1 13:23,2021/10/1 13:31,2021/10/1 13:32,B
43843140,企业团购,配送,288.6,2021-10-01 14:30:00 - 2021-10-01 15:30:00,2021/10/1 13:42,2021/10/1 13:47,2021/10/1 13:52,D
43844750,饿了么,配送,106.4,2021-10-01 13:19:00 - 2021-10-01 14:47:00,2021/10/1 13:19,2021/10/1 13:25,2021/10/1 14:05,D
43845550,美团,配送,46.9,2021-10-01 13:34:00 - 2021-10-01 14:34:00,2021/10/1 13:32,2021/10/1 13:44,2021/10/1 14:25,D
43846675,企业团购,配送,188.9,2021-10-01 14:30:00 - 2021-10-01 15:30:00,2021/10/1 13:52,2021/10/1 14:00,2021/10/1 14:30,A
43847561,饿了么,配送,414.46,2021-10-01 13:54:00 - 2021-10-01 15:10:00,2021/10/1 13:54,2021/10/1 14:03,2021/10/1 14:58,D
43848791,饿了么,配送,205.3,2021-10-01 14:27:00 - 2021-10-01 16:00:00,2021/10/1 14:26,2021/10/1 14:32,2021/10/1 15:19,D
43849735,美团,配送,48.0,2021-10-01 14:41:00 - 2021-10-01 15:41:00,2021/10/1 14:41,2021/10/1 14:48,2021/10/1 15:21,D
43850491,企业团购,自提,106.5,2021-10-01 16:30:00 - 2021-10-01 17:30:00,2021/10/1 15:32,2021/10/1 15:37,2021/10/1 15:38,B
43851579,饿了么,配送,174.3,2021-10-01 15:01:00 - 2021-10-01 16:20:00,2021/10/1 15:01,2021/10/1 15:04,2021/10/1 15:52,D
43852125,企业团购,自提,108.1,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:16,2021/10/1 16:25,2021/10/1 16:25,B
43853777,企业团购,配送,212.6,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:15,2021/10/1 16:24,2021/10/1 16:29,A
43854213,企业团购,配送,159.5,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:35,2021/10/1 16:44,2021/10/1 16:54,C
43855475,企业团购,配送,233.5,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:40,2021/10/1 16:51,2021/10/1 17:20,D
43856417,企业团购,自提,130.9,2021-10-01 18:30:00 - 2021-10-01 19:30:00,2021/10/1 17:03,2021/10/1 17:08,2021/10/1 17:24,B
43857064,企业团购,配送,116.59,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:44,2021/10/1 16:53,2021/10/1 17:24,B
43858244,饿了么,配送,179.0,2021-10-01 16:09:00 - 2021-10-01 17:24:00,2021/10/1 16:08,2021/10/1 16:22,2021/10/1 17:24,D
43859112,企业团购,自提,113.94,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:19,2021/10/1 16:36,2021/10/1 17:25,B
43860066,美团,配送,238.2,2021-10-01 16:59:00 - 2021-10-01 17:59:00,2021/10/1 16:59,2021/10/1 17:11,2021/10/1 17:31,D
43861062,企业团购,配送,187.16,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:44,2021/10/1 16:53,2021/10/1 17:37,A
43862244,企业团购,自提,121.8,2021-10-01 17:30:00 - 2021-10-01 18:30:00,2021/10/1 16:10,2021/10/1 16:22,2021/10/1 18:06,B
43863305,饿了么,配送,230.0,2021-10-01 17:58:00 - 2021-10-01 19:24:00,2021/10/1 17:58,2021/10/1 18:05,2021/10/1 18:35,D
43864353,饿了么,配送,105.3,2021-10-01 18:34:00 - 2021-10-01 19:18:00,2021/10/1 18:34,2021/10/1 18:42,2021/10/1 19:08,D
